STEPS,CC,CD,DC,DD
0,0,0,0,0
1,1,0,0,0
2,1,0,1,0
3,1,1,0,0
4,1,1,1,0
5,1,3,1,0
6,2,4,0,0
7,1,3,0,1
8,1,2,0,1
9,1,2,0,1
10,0,3,0,2
11,0,2,1,2
12,1,2,1,2
13,1,4,1,2
14,1,4,1,3
15,2,3,1,2
16,2,2,1,4
17,3,2,1,4
18,2,3,1,3
19,2,2,1,3
20,3,3,1,4
21,3,3,2,4
22,4,2,2,3
23,4,3,2,4
24,5,4,2,5
25,6,5,3,5
26,8,5,3,6
27,9,7,4,7
28,9,6,5,8
29,10,5,5,8
30,9,4,7,8
31,8,2,7,8
32,9,4,10,7
33,11,5,10,5
34,12,4,12,4
35,12,5,14,4
36,13,4,13,6
37,13,4,17,8
38,13,4,17,7
39,10,4,17,8
40,10,4,17,9
41,11,4,16,10
42,11,5,16,10
43,12,5,16,14
44,13,5,16,13
45,14,6,17,14
46,18,6,16,14
47,17,6,15,16
48,16,4,14,17
49,17,5,13,16
50,19,5,16,16
51,19,6,17,15
52,16,4,14,18
53,22,3,12,15
54,21,3,14,15
55,22,4,17,18
56,23,5,20,17
57,26,6,20,16
58,23,7,22,17
59,24,6,25,20
60,25,7,28,19
61,25,10,32,17
62,27,11,33,16
63,33,12,33,15
64,34,12,29,16
65,36,12,29,17
66,39,14,27,11
67,42,17,29,10
68,44,17,29,9
69,49,16,35,10
70,48,14,34,11
71,54,15,35,8
72,49,14,37,8
73,46,16,38,9
74,46,21,36,9
75,47,24,39,9
76,47,28,36,10
77,54,30,35,10
78,49,28,37,11
79,49,31,41,10
80,47,29,40,9
81,49,33,33,8
82,57,28,38,7
83,63,26,35,6
84,67,31,37,7
85,69,34,37,7
86,69,33,39,7
87,75,35,41,7
88,73,32,42,8
89,75,33,40,10
90,76,32,40,9
91,83,33,40,9
92,82,37,45,10
93,82,38,46,9
94,87,42,46,7
95,84,42,45,8
96,95,45,45,7
97,99,49,47,7
98,106,49,49,8
99,105,52,49,9
100,112,48,53,8
101,111,54,54,9
102,116,58,60,10
103,116,64,68,12
104,118,63,62,12
105,121,69,62,11
106,115,68,59,11
107,118,67,60,12
108,124,71,61,11
109,132,76,55,10
110,136,80,55,11
111,135,83,59,11
112,141,83,57,10
113,147,81,59,10
114,150,80,60,10
115,150,84,54,11
116,154,82,59,12
117,149,81,58,11
118,158,80,58,12
119,162,78,63,15
120,171,80,67,14
121,184,83,69,17
122,195,81,76,16
123,199,88,79,16
124,202,84,77,16
125,207,87,70,16
126,226,88,74,17
127,221,94,81,19
128,226,101,81,17
129,228,100,83,16
130,219,99,85,19
131,225,106,90,18
132,230,109,91,18
133,235,107,91,17
134,241,115,88,19
135,252,126,90,19
136,266,124,90,25
137,270,126,91,28
138,278,119,94,30
139,296,121,94,30
140,298,121,93,34
141,295,121,100,35
142,299,133,97,37
143,310,130,98,37
144,321,133,105,36
145,319,126,102,40
146,314,132,97,54
147,316,136,103,55
148,332,136,102,55
149,338,133,107,57
150,347,141,112,55
151,349,144,119,53
152,347,146,113,58
153,361,147,119,58
154,374,148,121,58
155,376,146,126,56
156,373,149,126,55
157,374,157,128,57
158,383,161,128,56
159,376,161,129,52
160,380,168,127,52
161,378,171,122,52
162,386,177,123,48
163,390,182,123,52
164,391,184,123,57
165,390,190,124,61
166,417,188,131,61
167,449,202,138,55
168,464,206,129,57
169,476,215,126,59
170,478,230,129,58
171,468,245,135,54
172,462,249,144,60
173,490,252,146,59
174,491,267,142,54
175,490,260,152,52
176,499,271,146,51
177,515,271,143,54
178,508,288,144,61
179,519,299,141,63
180,511,295,133,60
181,525,294,135,56
182,532,306,144,59
183,525,308,135,60
184,521,315,140,61
185,513,314,144,57
186,519,309,152,57
187,531,311,160,65
188,537,315,164,64
189,546,310,177,60
190,551,311,173,62
191,562,308,176,65
192,562,300,171,62
193,567,312,170,57
194,566,308,160,58
195,566,314,164,54
196,560,311,160,59
197,554,316,157,57
198,552,325,160,57
199,567,331,167,63
200,568,328,168,60
201,587,320,163,58
202,585,330,156,56
203,586,325,152,55
204,602,330,156,56
205,590,339,155,55
206,611,339,159,56
207,608,357,168,58
208,625,351,171,55
209,624,343,166,62
210,641,344,160,61
211,648,355,162,61
212,657,358,162,62
213,653,356,163,59
214,643,353,170,65
215,635,361,169,65
216,655,363,173,65
217,646,371,183,67
218,665,380,187,74
219,671,377,177,74
220,672,381,174,73
221,664,364,182,72
222,657,366,184,65
223,662,361,182,68
224,677,360,190,63
225,658,370,180,66
226,676,372,172,72
227,659,361,167,78
228,659,361,161,71
229,675,363,171,65
230,683,363,177,64
231,695,366,185,66
232,724,373,186,69
233,727,383,183,68
234,725,396,181,69
235,728,399,172,69
236,729,410,166,70
237,722,410,175,75
238,704,423,172,79
239,728,420,168,83
240,706,440,165,81
241,725,442,184,86
242,734,432,181,96
243,740,428,190,98
244,739,422,204,89
245,749,421,193,88
246,750,427,183,90
247,743,437,184,88
248,744,436,177,84
249,751,425,170,88
250,756,428,172,92
251,753,435,165,90
252,759,442,168,94
253,757,448,159,98
254,766,431,160,101
255,763,435,165,99
256,766,445,175,98
257,765,447,173,100
258,780,436,180,103
259,785,427,185,104
260,780,425,191,103
261,756,410,185,108
262,762,420,193,109
263,749,416,192,111
264,725,414,193,110
265,734,418,190,114
266,753,420,189,116
267,756,421,187,123
268,775,430,174,123
269,778,434,173,124
270,773,442,174,121
271,765,450,169,121
272,758,444,164,116
273,765,445,165,105
274,773,466,160,102
275,783,484,161,107
276,771,497,166,104
277,766,487,166,108
