"[run number]","gain-of-receiving","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-same","mutation-rate","cost-of-giving","immigrant-chance-cooperate-with-different","death-rate","max-pxcor","max-pycor","[step]","coopown-percent","defother-percent","consist-ethno-percent","meetown-percent","coop-percent","last100coopown-percent","last100defother-percent","last100consist-ethno-percent","last100meetown-percent","last100coop-percent","cc-percent","cd-percent","dc-percent","dd-percent"
"3","0.03","0.12","1","0.5","0.005","0","0.5","0.1","50","50","2000","0.9535469107551487","0.6424778761061947","0.8896363636363637","0.7945454545454546","0.8310909090909091","0.9465556018707257","0.6268305709658523","0.8794042402289824","0.7899715219302849","0.8261281766436406","0.2732853149860245","0.6637174801118039","0.0299236723285315","0.033073532573640076"
"2","0.03","0.12","1","0.5","0.005","0","0.5","0.1","50","50","2000","0.9548962855764592","0.6530612244897959","0.8881999248402856","0.7790304396843292","0.8205561818865088","0.9514205002507878","0.6294893247807629","0.8761037567602836","0.7660470646232366","0.8155149414954544","0.25794401565153824","0.6852922838776255","0.026309848859458643","0.03045385161137746"
"4","0.03","0.12","1","0.5","0.005","0","0.5","0.1","50","50","2000","0.9536225196123673","0.6254578754578755","0.8875783265757464","0.7987467747880576","0.8370807224474751","0.9514203904946567","0.5849704333447167","0.8779248540952463","0.799439091299066","0.8438413594465893","0.3790230993400188","0.5664052455644124","0.024363589611725377","0.03020806548384332"
"5","0.03","0.12","1","0.5","0.005","0","0.5","0.1","50","50","2000","0.9172802078822001","0.6583044982698962","0.8654312435053689","0.7997921718046415","0.8020436439210253","0.9347422348853748","0.6116716105081795","0.8690942821462344","0.7967999942251193","0.8237109383459298","0.27921420265469177","0.6447192853659713","0.031080364176129208","0.044986147803207706"
"6","0.03","0.12","1","0.5","0.005","0","0.5","0.1","50","50","2000","0.9617437722419929","0.5756385068762279","0.8904606456293073","0.8153790351831701","0.86253173739572","0.9519810536886211","0.6061892330777611","0.8905193894178425","0.8222581894441481","0.8527708563202853","0.3397988933182603","0.6029738691129778","0.021901047723621652","0.035326189845140285"
"7","0.03","0.12","1","0.5","0.005","0","0.5","0.1","50","50","2000","0.9538043478260869","0.5326797385620915","0.8624113475177305","0.7829787234042553","0.8482269503546099","0.9464694973869223","0.5704753068798173","0.8699826873450662","0.7965744897848077","0.8413097368258681","0.38142677324611896","0.559111790082947","0.01471743176512356","0.04474400490581059"
"8","0.03","0.12","1","0.5","0.005","0","0.5","0.1","50","50","2000","0.9680755395683454","0.7345679012345679","0.9206377642422071","0.7968470082407739","0.8253314224292368","0.956835446423795","0.7326470372543268","0.9129850103994837","0.804403643405293","0.8219751846804848","0.22331826131467816","0.7219479162223266","0.027769483427888923","0.026964339035106432"
"1","0.03","0.12","1","0.5","0.005","0","0.5","0.1","50","50","2000","0.9534667287110283","0.6399006622516556","0.884671267707955","0.780602978568834","0.8232836905194334","0.9465968877104821","0.663657203315112","0.8877835650481452","0.7921347696841519","0.8197462805282585","0.2979233010916051","0.6433062820006812","0.0280497629178674","0.03072065398984629"
"12","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.8898354876615746","0.8824289405684754","0.8884633796074677","0.8147438966012446","0.7467687888942077","0.9068271918969705","0.8228374553955949","0.8909669264407236","0.8111642431931297","0.7690404160102609","0.10503674381723618","0.7967071046371508","0.022252330438365914","0.07600382110724699"
"11","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.929876252209782","0.8402922755741128","0.91015625","0.7798713235294118","0.7603400735294118","0.9176014609930682","0.8588631055687687","0.9053378187950988","0.7912157718856386","0.7554879058053029","0.14679564102407913","0.7566015094385594","0.01318779048164369","0.08341505905571765"
