"[run number]","gain-of-receiving","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-same","mutation-rate","cost-of-giving","immigrant-chance-cooperate-with-different","death-rate","max-pxcor","max-pycor","[step]","coopown-percent","defother-percent","consist-ethno-percent","meetown-percent","coop-percent","last100coopown-percent","last100defother-percent","last100consist-ethno-percent","last100meetown-percent","last100coop-percent","cc-percent","cd-percent","dc-percent","dd-percent"
"4","0","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.13953488372093023","0.5769230769230769","0.15764331210191082","0.9585987261146497","0.15127388535031847","0.08568812553278818","0.6028630460448642","0.13566355779926415","0.9033684150480591","0.11578391945466472","0.047222499252019545","0.062007579535254806","0.4704547721152887","0.4203151490974369"
"7","0","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.14549653579676675","0.7051282051282052","0.1917372881355932","0.9173728813559322","0.15783898305084745","0.10082064823444134","0.8042763157894737","0.17949278028143106","0.8881633403844386","0.11143428676538214","0.04697455380110016","0.08126558233408525","0.1664687957576477","0.7052910681071669"
"2","0","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.09863945578231292","0.5568181818181818","0.1402061855670103","0.9092783505154639","0.12989690721649486","0.09490778028350516","0.5208916246968849","0.13641072239890958","0.9025715583825534","0.13233984552476147","0.04844961240310078","0.06861467522052928","0.4231990109596365","0.45973670141673356"
"5","0","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.1048780487804878","0.631578947368421","0.14955357142857142","0.9151785714285714","0.12723214285714285","0.12922059497566404","0.6045612971662373","0.1890644078144078","0.8741033272283272","0.162736568986569","0.08809385404005707","0.062446053303739715","0.25409994891578147","0.5953601437404217"
"6","0","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.24479166666666666","0.6290322580645161","0.28213166144200624","0.9028213166144201","0.25705329153605017","0.19576860561166032","0.5813883299798793","0.24086449092919834","0.8830560719075743","0.2218287489117391","0.10193310574486356","0.11563030138019142","0.371101849330848","0.411334743544097"
"8","0","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.13718820861678005","0.625","0.18864097363083165","0.8945233265720081","0.16227180527383367","0.08015018299608767","0.5402139461172741","0.12431070545731128","0.9040121696139951","0.11659060657919756","0.04016337644656229","0.06085414352764143","0.40252946866826694","0.4964530113575293"
"3","0","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.04835164835164835","0.5238095238095238","0.08853118712273642","0.9154929577464789","0.08450704225352113","0.0925599313081618","0.49900616179685947","0.1350525747059557","0.8954532230580607","0.13526037986783593","0.09489009311555487","0.02379407724011601","0.46805831170813617","0.4132575179361929"
"1","0","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.11037527593818984","0.3958333333333333","0.14952380952380953","0.8628571428571429","0.17809523809523808","0.10773967512474784","0.5212684666327051","0.16683349409430906","0.8570986587074818","0.1607549092762116","0.07965986054948163","0.04346596109363819","0.4210140948196961","0.455860083537184"
"9","0","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.1323851203501094","0.5878378378378378","0.1958568738229755","0.8606403013182674","0.1713747645951036","0.13639482553328894","0.629884043357701","0.20450552317995999","0.8619813864486388","0.16865269200661043","0.05394523668211932","0.09654962223897595","0.31542644487576393","0.5340786962031407"
"10","0","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.15333333333333332","0.46296296296296297","0.17412935323383086","0.9328358208955224","0.1791044776119403","0.19510606395791855","0.4100658801899801","0.22482524888794747","0.8617453929252277","0.24969286168184707","0.09424708122559675","0.1275605393241138","0.5204554634455963","0.2577369160046931"
"12","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.4158004158004158","0.6428571428571429","0.43947858472998136","0.8957169459962756","0.409683426443203","0.3759388412017167","0.6148237382703525","0.41173843639542396","0.8501387252479952","0.37732317281745276","0.12385360714347397","0.2661185858132265","0.23440819357847284","0.37561961346482664"
"11","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.43309222423146476","0.5538461538461539","0.4457928802588997","0.8948220064724919","0.4344660194174757","0.47891689095506074","0.5151515151515151","0.48342171514275","0.87567625475387","0.47965432892317034","0.23525930796416536","0.2397632941563245","0.2484425084244267","0.2765348894550834"
"13","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.416958041958042","0.5887850467289719","0.44403534609720174","0.8424153166421208","0.41605301914580267","0.4775724214817008","0.5146048109965635","0.4832874210037859","0.8456756478057835","0.47877966501185865","0.2047655757235966","0.2655406825986404","0.2127689396594015","0.3169248020183615"
"14","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.294921875","0.7149122807017544","0.37140575079872207","0.8178913738019169","0.29313099041533547","0.3109264484919559","0.6713854121709106","0.37404585921794464","0.8248915491467526","0.3140237911697577","0.09411815976408722","0.2289980970089629","0.166664245558477","0.5102194976684727"
"15","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.3512014787430684","0.7454545454545455","0.41781874039938555","0.8310291858678955","0.3348694316436252","0.3808766079085279","0.7758845107087918","0.43566785937038377","0.8612907461510685","0.3591323901125956","0.11621265377855888","0.25668465980416777","0.14117813206126037","0.4859245543560131"
"16","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.42410714285714285","0.627906976744186","0.46226415094339623","0.8127721335268505","0.4143686502177068","0.4173558147427081","0.6290657113227114","0.4510766735741959","0.8407213863110791","0.409961858425684","0.17027400578504154","0.25799005428819766","0.16929083370142917","0.4024451062253317"
"17","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.4123809523809524","0.6105263157894737","0.442741935483871","0.8467741935483871","0.4088709677419355","0.4486145611027534","0.5874579529072561","0.4699945242781667","0.8460138224978171","0.4430598925574581","0.18549603118154145","0.2676747560385786","0.19211072861247833","0.35471848416740165"
"18","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.5","0.5444444444444444","0.5060882800608828","0.863013698630137","0.4939117199391172","0.4887065120428189","0.6541524459613197","0.5111351017890191","0.8644355336212215","0.46933991363355954","0.18676671602688233","0.2966454038045336","0.1507717279872423","0.3658161521813419"
"19","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.3959349593495935","0.6100917431192661","0.4281767955801105","0.8494475138121547","0.39502762430939226","0.43793664790069864","0.6480769230769231","0.46944011993311424","0.850083607219051","0.4250418036095255","0.15905438551974965","0.2973159660548648","0.18066480588683076","0.3629648425385548"
"20","0.01","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.5043402777777778","0.7388888888888889","0.536036036036036","0.8648648648648649","0.47147147147147145","0.44124594719777677","0.6704545454545454","0.47508882747729964","0.8523489932885906","0.424753257007501","0.13951484282553892","0.30323609610536606","0.1483382209188661","0.40891084015022894"
"22","0.02","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.8761061946902655","0.733201581027668","0.8476377952755906","0.8007874015748031","0.7547244094488189","0.876526775294982","0.7722592945662535","0.8572581213445142","0.8151997745049679","0.7566309632865901","0.17166446878045982","0.6844545283281593","0.027824420290448612","0.11605658260093211"
"21","0.02","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.792830540037244","0.8302583025830258","0.8003717472118959","0.7985130111524164","0.6672862453531598","0.8052352127128777","0.7599887901353191","0.7966212147773264","0.8096203535034032","0.6976280668592465","0.16716975206323173","0.6237241114581334","0.03753947620958596","0.1715666602690489"
"23","0.02","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.9125098970704671","0.8372781065088757","0.896627108057464","0.7888819487820112","0.7542161149281699","0.902187705800151","0.8450463246925138","0.8908039693615708","0.8007794663356722","0.7533233434732557","0.09554336435924304","0.7928789373112247","0.03515841706219565","0.07641928126733649"
"24","0.02","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.8231114435302918","0.7372611464968153","0.8067837674136886","0.8098122350090854","0.7165354330708661","0.8286149248455538","0.74029222298197","0.8124967162297063","0.8175077496978931","0.7247937792255557","0.20190492601962887","0.6105397551480782","0.03549804572762377","0.1520572731046691"
"25","0.02","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.876280535855004","0.7441077441077442","0.851213282247765","0.8103448275862069","0.7586206896551724","0.8607606710410607","0.763506318330257","0.8420504520746265","0.8076156136469175","0.7406614493703734","0.16700429267351566","0.6774465827424878","0.03743629318799337","0.11811283139600315"
"26","0.02","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.8841698841698842","0.8560885608856088","0.8783473603672532","0.79265493496557","0.730680948737567","0.8963772552126472","0.8159543109801032","0.8805854604387335","0.8036406783585113","0.7565043120912195","0.14341088481575656","0.7440635430729602","0.027091943646106825","0.08543362846517637"
"28","0.02","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.8712993421052632","0.7610921501706485","0.8499005964214712","0.8058316766070245","0.7485089463220675","0.8787770140896642","0.8134080384601788","0.8671742649550126","0.8225037332630601","0.7559167513709546","0.15590161702642608","0.7038073484699512","0.03393637780029951","0.10635465670332332"
"27","0.02","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.8304119193689746","0.8068783068783069","0.8270676691729323","0.8578947368421053","0.7398496240601504","0.8313843196438658","0.7611125010424485","0.8195653241133608","0.8318103079480185","0.7317324618308565","0.1442176759811156","0.674431878409341","0.05616392560399865","0.12518652000554464"
"29","0.02","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.8596121416526138","0.781786941580756","0.8442789438050101","0.8029790115098172","0.7332430602572783","0.8685203227659947","0.7596248431192971","0.8470561884895165","0.8028923299101413","0.7447080926401369","0.11915324025772334","0.7324646984334308","0.044233480141126616","0.10414858116771927"
"30","0.02","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.8604358759430009","0.6971153846153846","0.826578073089701","0.7926910299003322","0.7448504983388704","0.8665038311801027","0.7032654916090499","0.8333728621498405","0.7970392916436082","0.7508630458270746","0.2028263593874382","0.6467129582193778","0.04431851320570316","0.10614216918748078"
"31","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.9247249565720903","0.8630573248407644","0.9115104640582348","0.7857142857142857","0.7559144676979072","0.920026387767643","0.896216609500052","0.9146764693518177","0.7753058278956145","0.7366213432605762","0.06878925899046523","0.8381716259165645","0.018931905202832902","0.07410720989013739"
"33","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.894172622319956","0.7274633123689728","0.8595383275261324","0.7922473867595818","0.7650261324041812","0.897209583764851","0.7352769237431256","0.8629115839677153","0.7881959093827386","0.7632463542144364","0.22017486365828626","0.6713948282898236","0.02765789050616475","0.08077241754572549"
"32","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.88558352402746","0.8223981900452488","0.8728310502283105","0.7981735159817351","0.7426940639269406","0.8714223531055534","0.8244264194669757","0.862576122424052","0.811766040238008","0.7404399832487044","0.13322708399489522","0.730849655188942","0.018417883441280262","0.11750537737488241"
"34","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.9377104377104377","0.854916067146283","0.9220100045475216","0.810368349249659","0.7874033651659845","0.9287908265223046","0.865530251250786","0.9185402093642433","0.8379619990165286","0.8000806269409164","0.1226478005722877","0.7916666666666666","0.013737329647412581","0.07194820311363306"
"35","0.03","0.12","1","0.5","0.005","0.01","0.5","0.1","50","50","2000","0.9446417998815867","0.7647058823529411","0.9084673604541155","0.7989593188268685","0.8020340586565752","0.9309554394678998","0.7091094752906324","0.8859648723562101","0.79719907333658","0.8011496816301266","0.2441400586148388","0.6745642449483263","0.023470615455807496","0.0578250809810273"
