"[run number]","gain-of-receiving","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-same","mutation-rate","cost-of-giving","immigrant-chance-cooperate-with-different","death-rate","max-pxcor","max-pycor","[step]","coopown-percent","defother-percent","consist-ethno-percent","meetown-percent","coop-percent","last100coopown-percent","last100defother-percent","last100consist-ethno-percent","last100meetown-percent","last100coop-percent","cc-percent","cd-percent","dc-percent","dd-percent"
"3","0.03","0.12","1","0.5","0.005","0.01","0","0.1","50","50","2000","0.9560849598163031","0.9205508474576272","0.948509485094851","0.7868112014453478","0.7691960252935862","0.9385184978982825","0.9112695053603405","0.9332550221008373","0.8068377834477306","0.7743715635893197","0.08408072434263215","0.8437601256961894","0.00346642701245346","0.068692722948725"
"2","0.03","0.12","1","0.5","0.005","0.01","0","0.1","50","50","2000","0.9435169727323317","0.8942992874109263","0.9341749323715058","0.8101893597835889","0.7844905320108205","0.9345769748653501","0.8829644612743138","0.9246365913651662","0.8074036157403842","0.7771214502824373","0.08006261125774967","0.846086796390645","0.011896138972438769","0.06195445337916641"
"6","0.03","0.12","1","0.5","0.005","0.01","0","0.1","50","50","2000","0.8899943149516771","0.826271186440678","0.8765127745405648","0.7884356790676826","0.7384580905423577","0.9211268807417731","0.8374151059888866","0.9044509534178183","0.8007935278736915","0.7700204076054773","0.16560113711180985","0.7457619818234401","0.008005316366903156","0.08063156469784699"
"5","0.03","0.12","1","0.5","0.005","0.01","0","0.1","50","50","2000","0.9010321797207043","0.8988372093023256","0.9005777563793933","0.7929706307173808","0.7354357246027925","0.9247115179040917","0.8783741557099247","0.9157310960384601","0.8061947974509001","0.7690693362650468","0.08965521539688871","0.8249713302752294","0.007940267251695254","0.07743318707618667"
"7","0.03","0.12","1","0.5","0.005","0.01","0","0.1","50","50","2000","0.8998167379352474","0.8255813953488372","0.8843734881470731","0.7919690372520561","0.7489114658925979","0.8846786350555023","0.8498665576169773","0.8768647703337262","0.775541556358577","0.7198037643239483","0.129590668704477","0.7425708384225301","0.017994973685388514","0.10984351918760431"
"4","0.03","0.12","1","0.5","0.005","0.01","0","0.1","50","50","2000","0.9026824703680599","0.893646408839779","0.9010178117048346","0.8157760814249364","0.7559796437659033","0.9174072736030828","0.8539122618551729","0.9037261506048854","0.7845323180265762","0.7512128412370744","0.13643994793664369","0.7650986877267555","0.007715185774379547","0.09074617856222138"
"8","0.03","0.12","1","0.5","0.005","0.01","0","0.1","50","50","2000","0.8926174496644296","0.8924050632911392","0.8925729442970822","0.7904509283819628","0.7281167108753316","0.894332916058939","0.8980812387791741","0.8950966137188737","0.7962561612392893","0.7328834142638977","0.10044602922941202","0.7841724399587902","0.004787257012776301","0.11059427379902159"
"1","0.03","0.12","1","0.5","0.005","0.01","0","0.1","50","50","2000","0.9425045153521975","0.8965141612200436","0.9325471698113208","0.7834905660377358","0.7608490566037736","0.9314774168515054","0.8646640605353999","0.9179727931391395","0.7978753881413574","0.7705576297501109","0.1432547713191569","0.7803916684828296","0.016993057069024566","0.05936050312898908"
"9","0.03","0.12","1","0.5","0.005","0.01","0","0.1","50","50","2000","0.9089986468200271","0.8993775933609959","0.9066326530612245","0.7540816326530613","0.710204081632653","0.9005396760708618","0.9139189924264614","0.9035886091338613","0.772115930144412","0.7149375199645287","0.07782707910750508","0.8127662271805275","0.006256338742393509","0.10315035496957403"
"11","0.03","0.12","1","0.5","0.005","0.01","0.1","0.1","50","50","2000","0.8674285714285714","0.8391203703703703","0.8618240146654446","0.8020164986251146","0.7275435380384968","0.8746296604270993","0.8656175154774278","0.8726991563775053","0.7857886152103732","0.7160602877899801","0.14687989764912843","0.7161746361746362","0.014143611066687989","0.12280185510954741"
