"[run number]","gain-of-receiving","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-same","mutation-rate","cost-of-giving","immigrant-chance-cooperate-with-different","death-rate","max-pxcor","max-pycor","[step]","coopown-percent","defother-percent","consist-ethno-percent","meetown-percent","coop-percent","last100coopown-percent","last100defother-percent","last100consist-ethno-percent","last100meetown-percent","last100coop-percent","cc-percent","cd-percent","dc-percent","dd-percent"
"1","0.03","0.12","1","0","0.005","0.01","0.5","0.1","50","50","2000","0.8515358361774744","0.7655555555555555","0.8340126811594203","0.7961956521739131","0.7257699275362319","0.8903322048483339","0.7790960451977401","0.8676935424961559","0.7964810865163929","0.7540908947437245","0.14470437694770805","0.7308259812775129","0.042906210012673494","0.08156343176210563"
"4","0.03","0.12","1","0","0.005","0.01","0.5","0.1","50","50","2000","0.9176085663295658","0.7432432432432432","0.8788159111933395","0.7775208140610546","0.7705827937095282","0.8995015648545265","0.8127365097949029","0.8806694165747762","0.7829523848419256","0.7449119893270894","0.13787325271218498","0.7467764888524732","0.04122644357238346","0.07412381486295842"
"7","0.03","0.12","1","0","0.005","0.01","0.5","0.1","50","50","2000","0.873898678414097","0.8114558472553699","0.8621923937360179","0.8125279642058165","0.745413870246085","0.8795361434424122","0.7784107297375252","0.8601135655425525","0.807935738522263","0.7531680631535213","0.16113823666614835","0.6996485772041674","0.06298242886020838","0.076230757269476"
"6","0.03","0.12","1","0","0.005","0.01","0.5","0.1","50","50","2000","0.9075749010740531","0.8265822784810126","0.8927911275415896","0.8174676524953789","0.7735674676524954","0.8999034533102563","0.7763039904349126","0.8762761175551873","0.8088394948860065","0.7706392968020875","0.16227218994759499","0.7182583079947658","0.037321971540732406","0.08214753051690676"
"8","0.03","0.12","1","0","0.005","0.01","0.5","0.1","50","50","2000","0.9091160220994475","0.8823529411764706","0.9047069681587449","0.8352561144439317","0.7787263497923397","0.9179751108043697","0.8240903167602245","0.9013515792089313","0.822936911512828","0.7865827143402288","0.12588036179002346","0.7765989068651536","0.032235952125304064","0.0652847792195187"
"3","0.03","0.12","1","0","0.005","0.01","0.5","0.1","50","50","2000","0.8602373887240357","0.8099352051835853","0.8493947858472998","0.7844506517690876","0.715782122905028","0.8741846550915063","0.7629700574654703","0.8491218902646825","0.7746450073838465","0.7305986595478814","0.1613392906528673","0.6956174368366387","0.039197851431661886","0.10384542107883206"
"5","0.03","0.12","1","0","0.005","0.01","0.5","0.1","50","50","2000","0.9040106951871658","0.8555858310626703","0.8960661600357622","0.8359409924005364","0.7793920429146178","0.8869460788820447","0.827622555552863","0.875575362635219","0.8083270242778647","0.7499825823622033","0.11595414228864409","0.7521924626688788","0.03458040693105125","0.09727298811142573"
"2","0.03","0.12","1","0","0.005","0.01","0.5","0.1","50","50","2000","0.8989867004433185","0.8158602150537635","0.8831368528959508","0.8093285494618144","0.7626858021527422","0.8927942381807719","0.8624239474324653","0.8869387525279304","0.8071969181537075","0.7471858445281744","0.07342554351572732","0.804773036355546","0.04944755363085427","0.07235386649787232"
"10","0.03","0.12","1","0","0.005","0.01","0.5","0.1","50","50","2000","0.861737400530504","0.7930622009569378","0.8468328141225338","0.7829698857736241","0.719626168224299","0.8867498847243265","0.7957789637649703","0.8706541726719468","0.8230675046197359","0.765988352392097","0.13619148428465666","0.7379144512631625","0.05407522072455167","0.07181884372762927"
"9","0.03","0.12","1","0","0.005","0.01","0.5","0.1","50","50","2000","0.9085257548845471","0.7579545454545454","0.8774072334429309","0.7933302019727572","0.7707844058243307","0.9131472248095994","0.7817771469787571","0.8881076238752222","0.8093964672334348","0.7806921845411527","0.1791713597112718","0.7232678123751046","0.017627681090966345","0.07993314682265742"
"14","0.03","0.12","1","0.1","0.005","0.01","0.5","0.1","50","50","2000","0.9002898550724637","0.828544061302682","0.8836226079216734","0.7676902536715621","0.7309746328437917","0.9052163549157897","0.8022064700685709","0.8829946048470163","0.7842755566445688","0.7526079597791118","0.18661980470091763","0.7020032876981206","0.026884292654202856","0.08449261494675891"
"11","0.03","0.12","1","0.1","0.005","0.01","0.5","0.1","50","50","2000","0.9127579737335835","0.7935982339955849","0.8864522417153996","0.7792397660818714","0.75682261208577","0.90531611923296","0.7744838139574982","0.8790082472707731","0.7989191438093464","0.7686213666286734","0.17083101648400928","0.7183129749541115","0.036083059795638944","0.07477294876624037"
"13","0.03","0.12","1","0.1","0.005","0.01","0.5","0.1","50","50","2000","0.8540167865707434","0.8848101265822785","0.8599127484246243","0.8085312651478429","0.7125545322346097","0.8749375979067325","0.8574283810792804","0.8717340446978186","0.8170361792600996","0.740941120211534","0.09526047934215803","0.7681696249498595","0.027997141997593258","0.10857275371038907"
"12","0.03","0.12","1","0.1","0.005","0.01","0.5","0.1","50","50","2000","0.8814047207829592","0.7425629290617849","0.8534958601655934","0.7989880404783809","0.7559797608095676","0.8654615157770569","0.8092704254450237","0.8543851839925749","0.8028809955629638","0.7324590272614916","0.1424530144469156","0.7046982402862921","0.035534498075214686","0.11731424719157756"
"15","0.03","0.12","1","0.1","0.005","0.01","0.5","0.1","50","50","2000","0.9002106371774619","0.8410493827160493","0.8915879442195231","0.854251012145749","0.7921727395411606","0.8892955801104973","0.8279000475725481","0.878197149439438","0.8192306473732569","0.7596485907875025","0.08627126436781608","0.7834360153256705","0.03342222222222222","0.0968704980842912"
"16","0.03","0.12","1","0.1","0.005","0.01","0.5","0.1","50","50","2000","0.8960396039603961","0.8775510204081632","0.8926264800861141","0.8153928955866523","0.7532292787944026","0.896870729629439","0.8652474364690147","0.8909397921689406","0.8124503532756386","0.7539357368154559","0.09362424272674524","0.7857174052745525","0.018998122024719396","0.10166022997398287"
"17","0.03","0.12","1","0.1","0.005","0.01","0.5","0.1","50","50","2000","0.9191476941039113","0.8328947368421052","0.9034878165312948","0.8184424271380794","0.782608695652174","0.8960677683686745","0.8334294453916358","0.884454836190547","0.8146033989066974","0.7608214644304786","0.10442963055261355","0.7699457977696094","0.024658899757024486","0.1009656719207526"
"18","0.03","0.12","1","0.1","0.005","0.01","0.5","0.1","50","50","2000","0.8481947483588621","0.866580310880829","0.8514001806684733","0.8256549232158988","0.7235772357723578","0.870776024010537","0.8350776137162638","0.864835980740674","0.833604823831166","0.7533253836115736","0.09472691532813637","0.7646983178302642","0.037605403518655725","0.10296936332294351"
"19","0.03","0.12","1","0.1","0.005","0.01","0.5","0.1","50","50","2000","0.8600988264360716","0.84472049689441","0.8565651760228354","0.7702188392007612","0.6981446241674596","0.8802037468183408","0.8281521224554206","0.86921671353728","0.7889204531936256","0.7306843109543999","0.13683916687285483","0.7284025808416283","0.028390526763226176","0.10636772552229051"
"20","0.03","0.12","1","0.1","0.005","0.01","0.5","0.1","50","50","2000","0.8865406006674083","0.8363028953229399","0.8765020026702269","0.8001780151312862","0.7421005785491767","0.9065945222167955","0.834422450870898","0.8930542552717222","0.8123891043644955","0.7675716642147029","0.09148757718675549","0.7975093596538144","0.033317936500218796","0.07768512665921136"
"22","0.03","0.12","1","0.2","0.005","0.01","0.5","0.1","50","50","2000","0.8684690157958688","0.8314087759815243","0.8607503607503607","0.7917267917267917","0.7227032227032227","0.8709908466263627","0.819281489382333","0.8606359223300971","0.799747572815534","0.7327621359223301","0.1396493802370931","0.7229022666718153","0.03271292685124403","0.1047354262398476"
"21","0.03","0.12","1","0.2","0.005","0.01","0.5","0.1","50","50","2000","0.882901866345575","0.802158273381295","0.8666987487969201","0.7993262752646776","0.7454282964388835","0.9110103405860647","0.8441480562448305","0.896196506210113","0.7784425925332038","0.7436994039574295","0.12504852454571783","0.7740943625261107","0.030310125763298803","0.07054698716487254"
"23","0.03","0.12","1","0.2","0.005","0.01","0.5","0.1","50","50","2000","0.8728373702422145","0.7848101265822784","0.8565054015969938","0.814466885861907","0.7508219821512447","0.8968001836059237","0.7967580435369475","0.8770423470451097","0.8025048589805107","0.7598258037311154","0.14298897127147586","0.7392964940050113","0.03309900222368901","0.08461553249982376"
"24","0.03","0.12","1","0.2","0.005","0.01","0.5","0.1","50","50","2000","0.8916062801932367","0.8467532467532467","0.8831455169034786","0.8113669769720725","0.7523272905438511","0.8929166100312628","0.8483545375548673","0.8838852286530985","0.797330310816486","0.742683416949275","0.11224170607393233","0.7639796124901098","0.01830214485926853","0.1054765365766893"
"25","0.03","0.12","1","0.2","0.005","0.01","0.5","0.1","50","50","2000","0.8822418136020151","0.754739336492891","0.8554726368159205","0.7900497512437811","0.7485074626865672","0.88897047126057","0.7690544229292843","0.8622352918802241","0.777050863896998","0.7422643895666727","0.1637531532328935","0.7056287182859057","0.043901853057766595","0.08671627542343413"
"26","0.03","0.12","1","0.2","0.005","0.01","0.5","0.1","50","50","2000","0.8857061826432218","0.7480106100795756","0.8614485981308411","0.8238317757009346","0.7740654205607477","0.8899013521115023","0.8047090723649842","0.875152350395142","0.8268739636943087","0.7696462025452745","0.15024749379031827","0.7246773050279063","0.04220796626221833","0.08286723491955708"
